cc,Residual,AverageMatch,Mean,Variance,Skewness,Kurtosis
AGO,4.322961906612934e-08,2.0,0.02495159462639613,0.0019386540256000006,0.13279686141946712,2.706143488121805
BRA,2.557606863328415e-06,2.0,0.02626024469421411,0.0019553610486000004,-0.053764761374577474,3.2432605126958727
CZE,2.198459745870179e-06,2.0,0.02333759287608729,0.0019347703087500008,-0.03711640268258219,2.9644682064997125
FRA,2.6857443780331594e-06,2.0,0.0267837047213413,0.0019542345614000007,0.1295022158753207,2.720433571825405
IRL,5.615077218533002e-07,2.0,0.02412278291677808,0.0019165333943500003,0.0385412819846038,3.1762749721599226
LUX,1.676777786093793e-06,2.0,0.027874246444522945,0.0018927249351500008,0.049679224800313164,2.9750843817586503
NZL,0.001678261727851772,2.0,0.024820729619614332,0.0019508760311500008,0.12397405501436337,2.678614100168631
ROU,2.732717982798092e-07,2.0,0.02412278291677808,0.0018480307943500006,0.002801960207825441,3.250438865886702
TUN,2.5070753443918436e-07,2.0,0.02355570122072362,0.0019188339400000006,-0.038584811841527476,2.9855172575415283
ARG,1.679351175088679e-07,2.0,0.02421002625463261,0.0018666482787500008,0.09749164281044184,2.740714566210861
CAN,3.151252655702955e-07,2.0,0.024253647923559874,0.002018665062400001,0.07742422242583867,3.2669900983315934
DEU,5.173540937847293e-07,2.0,0.02259602450432377,0.0019364847766000005,-0.014085234617525939,3.037523557616916
GBR,5.73474651979106e-06,2.0,0.023424836213941824,0.001987776098350001,0.22033150552724895,2.684282812332128
IRN,5.264325534652759e-08,2.0,0.022944997855741896,0.001897757973400001,-0.12581352548509797,3.178234812280596
MEX,2.5134709030993017e-07,2.0,0.025431432984596058,0.002003912266350001,0.067504907921053,2.990329025254191
PER,1.2846285923338617e-05,2.0,0.026391109700995907,0.0020417104787500014,-0.0035042508008105554,2.7121568693543137
SAU,9.290833870559598e-08,2.0,0.024471756268196202,0.0018843523951500006,0.026182817410934468,3.2147527760845307
TUR,3.9581089480037007e-07,2.0,0.025649541329232386,0.0019604226296000013,0.09307503471897159,2.9926436283687297
AUS,1.1418086677674519e-06,2.0,0.026347488032068638,0.002015468274400001,0.04991366240056448,2.7284171504259724
CHE,1.3326683190847454e-06,2.0,0.026085758018505045,0.0018541294286000007,-0.07684599012316563,3.2409835452053457
DNK,6.727449818472035e-07,2.0,0.024907972957468865,0.0019160919331500008,-0.019882276207797818,3.0236348753734514
GRC,1.6025017974787907e-07,2.0,0.024471756268196206,0.0017854041951500007,0.10487615424584189,2.671025099652011
ISL,2.672163789952621e-06,2.0,0.02660921804563223,0.002009219315000001,0.02647161836317066,3.200469521799139
MLT,0.00010385212331888549,2.0,0.02612937968743231,0.0019983711671500005,-0.06423258487588226,2.998957876052656
PHL,4.156368976740897e-07,2.0,0.02525694630888699,0.0018643344131500008,-0.00922457178504298,2.6517348121085296
SGP,3.144071193769078e-07,2.0,0.02591127134279598,0.0018517851174000009,-0.07475160413520134,3.207638568308277
TWN,1.0803918368591638e-05,2.0,0.025911271342795982,0.0018555908174000008,-0.003454732137672782,3.000988814961741
AUT,5.892724639258891e-06,2.0,0.024820729619614332,0.0018138708311500008,0.10916800047794557,2.6642319409203976
CHL,1.0435029112192289e-07,2.0,0.02765613809988662,0.001815402625400001,0.14011506633046186,3.1914583266115617
EGY,2.058962864596843e-07,2.0,0.024340891261414407,0.0018089177126000007,0.12180085519777344,3.005612549218493
HKG,1.5939205462932404e-06,2.0,0.023032241193596426,0.0017909928656000007,0.20360225830525264,2.6513394537825863
ISR,6.510785394347798e-08,2.0,0.025213324639959723,0.0019064958606000008,-0.0742095157241749,3.3472539602515456
MYS,3.337847373809864e-07,2.0,0.025518676322450588,0.001854850608750001,0.12475892022371887,3.0223182053405084
POL,1.7123079838438084e-07,2.0,0.025475054653523323,0.001908451990400001,0.08528849693079234,2.6348808351963844
SVK,2.8728628464650356e-07,2.0,0.02599851468065051,0.002010901434400001,-0.010344990304037977,3.191379569571934
URY,1.3562548853843642e-05,2.0,0.025998514680650512,0.002029929934400001,-0.0373183831172757,2.996564683384766
BEL,7.440213057058901e-06,2.0,0.023381214545014555,0.001953663706400001,0.2913225361078303,2.699938198395664
CHN,1.2094668791605092e-07,2.0,0.026216623025286843,0.001856799127150001,-0.026399933274966213,3.228679203129845
ESP,6.861629372634751e-07,2.0,0.02381743123428721,0.0019368805694000009,0.0758897776279506,3.038827542686125
HUN,5.292934644386428e-07,2.0,0.024907972957468865,0.002041680033150001,0.1555246638177239,2.6702565695810416
ITA,0.0001966489083992843,2.0,0.027176299741686692,0.001870256082350001,-0.09009518535001805,3.1330131157071217
NAM,4.0953082428678586e-06,2.0,0.0269145697281231,0.0019110531863500005,-0.012782029985577118,3.0044080489892475
PRT,1.6471922447386556e-06,2.0,0.025518676322450588,0.0018205993087500008,0.09152810464484533,2.683874817357342
SVN,4.496469557878787e-07,2.0,0.02386105290321448,0.001921480804350001,-0.14953287266617002,3.215539300631376
USA,1.6603778393804118e-06,2.0,0.023075862862523694,0.0019925865031500006,0.2212861993513065,2.9630031150630676
BGR,3.0960544662994233e-06,2.0,0.025082459633177928,0.001956843368750001,0.2041914872499385,2.7014083011164667
COL,7.197831157893528e-07,2.0,0.023773809565359946,0.0018913853287500007,0.024190542396055937,3.2363318060623323
EST,7.986079246268578e-08,2.0,0.02442813459926894,0.0018008572400000005,-0.01908139954612416,2.9268605984888296
IDN,4.7345930412206557e-07,2.0,0.024733486281759802,0.0018524454063500008,0.0757638652630838,2.7053420386949822
JPN,1.2820444587670458e-06,2.0,0.02364294455857815,0.0019223275726000003,-0.15350094948324033,3.2620873118282767
NLD,7.375917129190692e-07,2.0,0.02386105290321448,0.0019405093043500013,-0.005966360170955043,3.052801536010645
PRY,0.00013570623359158326,2.0,0.024166404585705344,0.0018744670894000007,0.0866913083658493,2.653207163973811
SWE,2.0563782850872772e-06,2.0,0.024689864612832537,0.001871726985400001,0.029163557008727487,3.229293056748639
ZAF,6.105694199386042e-05,2.0,0.02381743123428721,0.0018341266694000007,-0.11583137367770835,2.9500334403394666
BOL,7.180423742008921e-07,2.0,0.02739440808632302,0.0018602566056000005,0.15155844675709754,2.645122605268115
CYP,7.315741518700233e-08,2.0,0.025518676322450588,0.001832016408750001,-0.015742542312727148,3.303680816628407
FIN,1.7082171921252804e-07,2.0,0.025387811315668793,0.0018025241366000006,-0.06191256260501792,3.0407353382234157
IND,1.535559740522561e-05,2.0,0.024253647923559874,0.001912105462400001,0.10523847914264108,2.6909578951180295
KOR,4.077660321658021e-07,2.0,0.025082459633177925,0.0018312552687500007,-0.0796594741283741,3.2654126790410625
NOR,1.738049729151191e-05,2.0,0.025126081302105197,0.0017091855384000006,0.12306744414418426,3.083888420554184
QAT,2.2009900127212537e-07,2.0,0.02612937968743231,0.0018271146671500007,0.15580947629934302,2.7322490569229188
THA,3.901449024140356e-07,2.0,0.023512079551796353,0.0020369609651500003,-0.05828611285078513,3.201600197319453
AGO_A,1.0135357049889214e-06,2.0,0.02503883796425066,0.0018581786934000009,0.017934264051165553,2.972738570660564
BRA_A,1.0135357049889214e-06,2.0,0.025605919660305117,0.002105372228350001,0.0690079900552514,2.668960528915836
CZE_A,1.6183738520690671e-06,2.0,0.027830624775595683,0.0017981095246000008,-0.028674510706671225,3.1693579615291703
FRA_A,9.560928222432463e-07,2.0,0.0228141328489601,0.0019246775923500007,-0.024628679660783748,2.947841155770639
IRL_A,5.685230894629893e-07,2.0,0.024907972957468865,0.0019160919331500008,0.1701308253136116,2.6400459031363606
LUX_A,4.1447433831439745e-07,2.0,0.02586764967386871,0.0019206435503500007,0.03435372672737048,3.1691597255546093
NZL_A,5.319529909049926e-07,2.0,0.026303866363141373,0.0019892222643500003,0.043627549706310595,2.9416027265428166
ROU_A,1.0135357049889214e-06,2.0,0.02569316299815965,0.0018230806251500007,-0.0002794486845454276,2.642836278682925
TUN_A,1.0135357049889214e-06,2.0,0.026478353038850436,0.0019838181703500006,-0.053672028929622216,3.2614878084278573
ARG_A,1.0135357049889214e-06,2.0,0.02451537793712347,0.0019335924446000007,-0.10811278489287422,3.008084531956869
