Country,Residual
AGO,3.13424850200247e-06
BRA,2.132592171963394e-06
CZE,7.574792343799773e-06
FRA,3.7978392351680954e-06
IRL,0.003949747906375005
LUX,7.591194330635711e-05
NZL,6.593988885690853e-06
ROU,0.00017214700095303032
TUN,0.0013031818034316067
ARG,4.847268137301959e-06
CAN,2.59077559800271e-06
DEU,3.620410534338007e-06
GBR,1.444909362431009e-05
IRN,0.012640099407972791
MEX,4.452653431364086e-06
PER,0.00015030511511732633
SAU,3.89037136193726e-06
TUR,6.841597185412117e-06
AUS,3.5398986292215412e-06
CHE,3.72974747438294e-06
DNK,5.04934802158506e-06
GRC,3.277374285063791e-06
ISL,4.495216699266792e-06
MLT,0.00027933824182839386
PHL,4.142650754458511e-06
SGP,4.282364840829818e-06
TWN,5.515000201377845e-06
AUT,4.950820715600919e-06
CHL,4.901818332809039e-06
EGY,0.0035112435611992865
HKG,2.831504773101145e-05
ISR,4.493026344591087e-06
MYS,4.357658530549335e-06
POL,7.132501894776672e-06
SVK,4.685684003222963e-06
URY,4.976242235546642e-06
BEL,6.032420927039834e-06
CHN,4.852868104792089e-06
ESP,3.6427698501299092e-06
HUN,6.559000883694368e-06
ITA,9.266176883736825e-06
NAM,0.0001493895071929703
PRT,2.7788882857230933e-06
SVN,4.0323464585844545e-06
USA,5.608491727283013e-06
BGR,2.4461518792758693e-06
COL,3.543072914198137e-06
EST,8.640971763443756e-06
IDN,7.864481502709345e-06
JPN,2.6860370679915225e-06
NLD,3.7714672149700095e-06
PRY,1.3023293478929373e-05
SWE,4.025233108004124e-06
ZAF,7.22073791235893e-05
BOL,7.853356315111725e-06
CYP,1.2560918697254608e-05
FIN,3.1637103345083497e-06
IND,4.26007717506555e-06
KOR,6.422711870784461e-06
NOR,6.466232273843733e-05
QAT,0.0036250760028758147
THA,0.0004651197097213163
AGO_A,4.289819362131332e-06
BRA_A,4.289819362131332e-06
CZE_A,3.3698021426705035e-06
FRA_A,7.973632907293314e-06
IRL_A,5.481252988363892e-06
LUX_A,4.0517213154932764e-06
NZL_A,5.262596899875939e-06
ROU_A,5.736841441130467e-06
TUN_A,4.289819362131332e-06
ARG_A,2.0885059118493487e-06
CAN_A,3.928529114799872e-06
DEU_A,4.647946417167124e-06
GBR_A,6.517628002687688e-06
IRN_A,4.289819362131332e-06
MEX_A,4.289819362131332e-06
PER_A,4.289819362131332e-06
SAU_A,2.0885059118493487e-06
TUR_A,4.289819362131332e-06
AUS_A,5.545805256819021e-06
CHE_A,5.112994859578019e-06
DNK_A,5.80251743157828e-06
GRC_A,6.307646020054323e-06
ISL_A,4.198448330214664e-06
MLT_A,1.3266907767784183e-06
PHL_A,4.289819362131332e-06
SGP_A,5.53889053967118e-06
TWN_A,4.3613153457891265e-06
AUT_A,4.873297283605354e-06
CHL_A,2.0885059118493487e-06
EGY_A,4.289819362131332e-06
HKG_A,2.5128395385934033e-06
ISR_A,6.001997442690045e-06
MYS_A,4.289819362131332e-06
POL_A,2.0885059118493487e-06
SVK_A,6.278259413308547e-06
URY_A,3.7591737937825242e-06
BEL_A,2.479272014477686e-06
CHN_A,4.289819362131332e-06
ESP_A,3.8229185255882055e-06
HUN_A,3.206688418898733e-06
ITA_A,5.93135993916028e-06
NAM_A,4.289819362131332e-06
PRT_A,5.589393638451973e-06
SVN_A,6.101496924147014e-06
USA_A,5.2836485325717176e-06
BGR_A,4.7173641793545075e-06
COL_A,4.289819362131332e-06
EST_A,6.415138948000116e-06
IDN_A,4.289819362131332e-06
JPN_A,4.033544053540104e-06
NLD_A,7.1585975320409484e-06
PRY_A,3.206688418898733e-06
SWE_A,6.49653843672521e-06
ZAF_A,4.289819362131332e-06
BOL_A,3.3973832684852666e-06
CYP_A,1.8579364013117662e-06
FIN_A,3.5837009978787537e-06
IND_A,4.7173641793545075e-06
KOR_A,6.170031585344221e-06
NOR_A,5.9359480827105835e-06
QAT_A,4.289819362131332e-06
THA_A,4.289819362131332e-06
AGO_E,7.47680418521708e-06
BRA_E,1.1490983810974427e-05
CZE_E,1.0745870176119362e-05
FRA_E,5.323819127633725e-06
IRL_E,7.432857391663433e-06
LUX_E,9.223455545309853e-06
NZL_E,6.787026505041388e-06
ROU_E,9.225479648891583e-06
TUN_E,7.785200555552862e-06
ARG_E,1.0220733049280413e-05
CAN_E,1.0491397545714426e-05
DEU_E,1.0491397545714426e-05
GBR_E,9.525919143520617e-06
IRN_E,7.438330005178758e-06
MEX_E,1.1641257976748588e-05
PER_E,9.369133532797766e-06
SAU_E,1.5327069699074912e-05
TUR_E,1.1152960000640549e-05
AUS_E,6.787026505041388e-06
CHE_E,1.0745870176119362e-05
DNK_E,6.260800022783633e-06
GRC_E,1.0745870176119362e-05
ISL_E,1.0491397545714426e-05
MLT_E,1.0491397545714426e-05
PHL_E,3.5139026075259128e-06
SGP_E,3.893672805572825e-06
TWN_E,1.0745870176119362e-05
AUT_E,5.323819127633725e-06
CHL_E,1.3793634803491011e-05
EGY_E,1.1114691671423987e-05
HKG_E,6.787026505041388e-06
ISR_E,1.0745870176119362e-05
MYS_E,6.778892231516766e-06
POL_E,1.0973296475370795e-05
SVK_E,1.0491397545714426e-05
URY_E,6.262997759508989e-06
BEL_E,9.525919143520617e-06
CHN_E,0.001442450960898803
ESP_E,1.0745870176119362e-05
HUN_E,9.428974174052448e-06
ITA_E,7.432857391663433e-06
NAM_E,7.2284252866788475e-06
PRT_E,6.787026505041388e-06
SVN_E,1.0745870176119362e-05
USA_E,6.260800022783633e-06
BGR_E,1.3355957869565978e-05
COL_E,7.4652970136383736e-06
EST_E,1.0491397545714426e-05
IDN_E,5.169982710478432e-06
JPN_E,3.893672805572825e-06
NLD_E,1.0745870176119362e-05
PRY_E,9.253066585462514e-06
SWE_E,7.432857391663433e-06
ZAF_E,1.1526583358252684e-05
BOL_E,1.093681009949036e-05
CYP_E,1.0745870176119362e-05
FIN_E,6.260800022783633e-06
IND_E,0.01723863052109765
KOR_E,1.0491397545714426e-05
NOR_E,1.0491397545714426e-05
QAT_E,7.065592523341047e-06
THA_E,6.75610859673962e-06
AGO_R,7.351521349166958e-06
BRA_R,7.349596051527772e-06
CZE_R,8.334921918578959e-06
FRA_R,9.058676221004643e-06
IRL_R,4.350622033064049e-06
LUX_R,2.2062673527406063e-06
NZL_R,7.772183677941471e-06
ROU_R,3.895313937123742e-06
TUN_R,3.89627584870266e-06
ARG_R,7.560932109827396e-06
CAN_R,3.6633305303226193e-06
DEU_R,6.590623123505225e-06
GBR_R,9.17852953831929e-06
IRN_R,6.276681994600221e-06
MEX_R,5.5183371634379546e-06
PER_R,4.8602798419043e-06
SAU_R,8.448793089073365e-06
TUR_R,5.3070071048571886e-06
AUS_R,5.1231299738695466e-06
CHE_R,7.95574639879204e-06
DNK_R,7.75222355115122e-06
GRC_R,3.8254829810069525e-06
ISL_R,5.2917903466164446e-06
MLT_R,4.0251048675084305e-06
PHL_R,6.7970974657556365e-06
SGP_R,3.8086276263997495e-06
TWN_R,4.3542659761056566e-06
AUT_R,7.833514308976066e-06
CHL_R,6.991983911487659e-06
EGY_R,4.721405071741836e-06
HKG_R,5.459924547081707e-06
ISR_R,5.262471104435988e-06
MYS_R,6.022763223213662e-06
POL_R,7.734573328353459e-06
SVK_R,6.781401910571141e-06
URY_R,7.358543816376147e-06
BEL_R,6.930042453719077e-06
CHN_R,3.887401780774782e-06
ESP_R,7.283949583361795e-06
HUN_R,7.5607318756043e-06
ITA_R,6.445810110242709e-06
NAM_R,7.549143717945471e-06
PRT_R,6.797579616861771e-06
SVN_R,7.1787918966435045e-06
USA_R,7.91327790345833e-06
BGR_R,8.259818888892813e-06
COL_R,7.230107948868627e-06
EST_R,9.260833775548015e-06
IDN_R,4.357051877113466e-06
JPN_R,3.3570440708437107e-06
NLD_R,6.632230692710927e-06
PRY_R,5.551637651074129e-06
SWE_R,4.7476247431661605e-06
ZAF_R,7.923629123713554e-06
BOL_R,7.779588772133852e-06
CYP_R,5.765498703750119e-06
FIN_R,6.719197074153107e-06
IND_R,3.0198262321601614e-06
KOR_R,4.098884755492288e-06
NOR_R,6.101593233339255e-06
QAT_R,4.587546593271933e-06
THA_R,8.43357711552061e-06
