Country,p1,p2,p3,mu1,mu2,mu3,sig1,sig2,sig3
AGO,0.3890102790467406,0.4313676879401055,0.17962203301315394,0.006541827241076542,0.012835508908847975,-0.04499262999004769,0.0050315941040187375,0.003928833786113405,0.003928833786113405
BRA,0.25060412198449183,0.3012489512901567,0.4481469267253515,0.029937536242100275,-0.011539825335534003,-0.008986184749134042,0.004126000660029994,0.0008575697391713547,0.0008575697391713547
CZE,0.24709171407287153,0.30437047685019364,0.44853780907693486,0.005573791488210361,-0.007178150941546723,0.0017956807735945068,1.4163497489114929e-08,0.03609590346977193,0.03609590346977193
FRA,0.24872811934019234,0.3022660000879857,0.449005880571822,0.010375034755881975,-0.005128177718989048,-0.0023009919576037546,0.0015178977015543969,0.016410873069706008,0.016410873069706008
IRL,0.14162353420806026,0.2997711611120022,0.5586053046799375,0.019098094779505363,0.02445892228685719,-0.017968594108482523,0.06111945163096443,1.0154657415246779e-08,1.0154657415246779e-08
LUX,0.2337807129659348,0.3093320207406126,0.45688726629345255,0.01247479185431792,0.021900470335067937,-0.021213683060491893,0.032556653960257025,0.00014758338095272297,0.00014758338095272297
NZL,0.30297956635414935,0.3198837338993713,0.37713669974647934,0.034377153472782015,-0.023521998021439377,-0.003578703789527016,0.011981389582480252,0.01996782294707813,0.01996782294707813
ROU,0.25731104103895175,0.30697715306300094,0.43571180589804737,0.03526928105135885,-0.01314186671569503,-0.01156885835083369,1.0146494090720914e-08,0.015629515950470504,0.015629515950470504
TUN,0.21255111709210653,0.30091803970404907,0.48653084320384443,0.014618170586027225,-0.0008760284563733795,-0.0058441088158652675,0.05443016274952358,0.02200770788806633,0.02200770788806633
ARG,0.2533998439355571,0.29215626145865675,0.45444389460578616,0.02378588034775465,0.01256400386691596,-0.02134051311682492,0.0005988049276056024,0.02565220468475532,0.02565220468475532
CAN,0.25374874267105946,0.30382377746251155,0.44242747986642894,0.004952701655134822,-0.01142668274916662,0.0050064038300768575,0.008560679057094971,0.02200302322625514,0.02200302322625514
DEU,0.24971188370389355,0.3024566889998607,0.4478314272962457,-0.009907988417285579,-0.008143664069343108,0.011025537670238575,0.0003406458596859377,0.02420780545352981,0.02420780545352981
GBR,0.24996481085802644,0.2999059482287733,0.4501292409132003,0.019269480158494265,-0.004380686601935679,-0.007785780576398469,0.011625042056819029,0.001294085296212228,0.001294085296212228
IRN,0.3693594964452695,0.3893162604766558,0.24132424307807465,0.01851831631009223,0.018919653408084644,-0.05886559210350616,0.0016262899775282514,0.0032461579258357643,0.0032461579258357643
MEX,0.2541427354361036,0.30415850403694106,0.44169876052695534,0.01291955647980951,0.002654824297601741,-0.0092619270968892,0.0005261977149606298,0.02244820354906879,0.02244820354906879
PER,0.1379919238580934,0.2250754152772336,0.636932660864673,0.06882847155477415,-0.03299901822940633,-0.003234045626521803,0.0016306853551689854,0.044378206339229086,0.044378206339229086
SAU,0.24554227648760293,0.2955687938795801,0.4588889296328169,0.05618071527394186,-0.013291738081630927,-0.02149983648365542,0.00632167117261502,0.023918671384479857,0.023918671384479857
TUR,0.24218342872364212,0.3054672191453566,0.45234935213100125,0.04418718038284088,-0.018052851137261003,-0.011465936664259638,0.0027914474964111586,0.00722474184746106,0.00722474184746106
AUS,0.2487965648792972,0.30311944363661497,0.44808399148408784,-0.009000405815923082,-0.00912267230540674,0.011171270061505034,5.033016760703732e-05,0.02531356773292141,0.02531356773292141
CHE,0.2508574158541002,0.30494750357984796,0.44419508056605184,-0.007426026577345011,-0.012106064126428045,0.012507414936121865,0.008198342781082881,0.025223744609272392,0.025223744609272392
DNK,0.2534488128955759,0.3037939145083432,0.4427572725960809,0.016338050673952085,-0.010377511203119909,-0.0022333988273702332,0.0015828246486081275,0.01125889366517696,0.01125889366517696
GRC,0.2549724201175769,0.3049089162643485,0.4401186636180745,0.015618782658839227,0.01336957601707377,-0.018311010048143853,0.0016714416944634488,0.02496699294804216,0.02496699294804216
ISL,0.2515278598330455,0.3022518031900791,0.44622033697687535,0.04447236695100152,0.0004842682703774121,-0.025401838095865943,1.0000002734953259e-08,0.0003656090663799174,0.0003656090663799174
MLT,0.19740241351838228,0.3030543543710815,0.4995432321105362,0.04642323566727026,-0.037922423599168885,0.004728175241081889,0.002750071462293571,0.009145209359943687,0.009145209359943687
PHL,0.23147833856696678,0.28567496406940374,0.4828466973636295,0.022428104530112812,-0.01738070965493496,-0.00046815048075430146,0.00023124133910779897,0.0374377788589931,0.0374377788589931
SGP,0.2525707933059222,0.30659045605513907,0.44083875063893874,0.022185896797300562,0.005809903009734976,-0.016751586424712465,0.0004480806364467276,0.020346095161322707,0.020346095161322707
TWN,0.24561763554376403,0.30040150328805,0.4539808611681859,0.029565160893949713,-0.003889598483351661,-0.013403022029250557,0.00020552992711641893,0.0012711827354317344,0.0012711827354317344
AUT,0.2467908776886344,0.30029652445840993,0.4529125978529557,0.01593616788396477,-0.005953327067673157,-0.00472345777538582,0.003610801551668594,0.005982246698633221,0.005982246698633221
CHL,0.2554986343665272,0.30008054355336045,0.44442082208011235,0.026226934856246498,0.0003594005614820513,-0.015320381102831427,0.0009515959172603452,0.01788701855405947,0.01788701855405947
EGY,0.2638971703811601,0.30063439548125725,0.4354684341375826,0.025872733919826293,-0.011250648246025985,-0.007912260259659189,0.04049217853074361,0.026343064965439,0.026343064965439
HKG,0.24733034392489056,0.3026524703934925,0.45001718568161686,0.039094547964504026,-0.00978112403250408,-0.014907614387239624,0.0060915160658459,0.0006819896099192686,0.0006819896099192686
ISR,0.2654187606457919,0.296966015055527,0.43761522429868105,0.013261879461334185,0.010231744571307462,-0.014986761000972104,0.0010359604963893787,0.018121079622068697,0.018121079622068697
MYS,0.2505875803288802,0.30036352721607024,0.44904889245504953,0.01874558017888008,-0.003831139533259185,-0.007898668963008225,0.002163644464765262,0.012709636766383956,0.012709636766383956
POL,0.2881993716527897,0.33631359909349456,0.3754870292537158,0.0157759770808767,0.010042445964306541,-0.021103625404357805,0.0019941144067206463,0.0006229652981425917,0.0006229652981425917
SVK,0.08343223515741155,0.2943687226433361,0.6221990421992524,-0.03139687621858728,0.01621138435441867,-0.0034596437536459925,0.05784829787171131,0.023674782511675298,0.023674782511675298
URY,0.26020422455921766,0.29785680192075303,0.4419389735200293,0.04070891696814463,-0.013870903755870906,-0.014600591922116516,0.003335370454979798,0.03678184682728373,0.03678184682728373
