Country,Residual
AGO,1.6517629091110674e-07
BRA,1.6517629091309997e-07
CZE,1.6517629092600394e-07
FRA,1.65176290906526e-07
IRL,1.65176290921576e-07
LUX,1.651762909124776e-07
NZL,1.6517629092262465e-07
ROU,1.6517629091776193e-07
TUN,1.6517629091455472e-07
ARG,1.6517629091906576e-07
CAN,1.6517629090982905e-07
DEU,1.651762909120067e-07
GBR,1.6517629090650386e-07
IRN,1.6517629091416305e-07
MEX,1.651762909201324e-07
PER,1.6517629092360077e-07
SAU,1.6517629091457664e-07
TUR,1.6517629091474464e-07
AUS,1.651762909126626e-07
CHE,1.6517629091190677e-07
DNK,1.651762909202389e-07
GRC,1.6517629091071674e-07
ISL,1.651762909209733e-07
MLT,1.6517629092202518e-07
PHL,1.6517629091326374e-07
SGP,1.6517629091937344e-07
TWN,1.651762909137185e-07
AUT,1.6517629090911926e-07
CHL,1.6517629091757043e-07
EGY,1.6517629091274443e-07
HKG,1.6517629090985425e-07
ISR,1.6517629091960418e-07
MYS,1.6517629090915865e-07
POL,1.651762909122502e-07
SVK,1.6517629091055006e-07
URY,1.6517629091541915e-07
BEL,1.651762909181613e-07
CHN,1.651762909221042e-07
ESP,1.6517629090914165e-07
HUN,1.6517629091271674e-07
ITA,1.651762909193365e-07
NAM,1.6517629090877822e-07
PRT,1.6517629092001298e-07
SVN,1.6517629091296614e-07
USA,1.651762909216463e-07
BGR,1.6517629091038595e-07
COL,1.6517629091475867e-07
EST,1.6517629091475505e-07
IDN,1.651762909165138e-07
JPN,1.6517629091095798e-07
NLD,1.6517629091676797e-07
PRY,1.651762909153554e-07
SWE,1.6517629092383672e-07
ZAF,1.651762909179698e-07
BOL,1.6517629092283013e-07
CYP,1.6517629091235268e-07
FIN,1.6517629090769797e-07
IND,1.6517629091825123e-07
KOR,1.6517629092129835e-07
NOR,1.651762909195091e-07
QAT,1.6517629091440615e-07
THA,1.6517629091505596e-07
AGO_A,1.651762909204292e-07
