"","cc","autocorr_coef","mean","stdev","skewness","kurtosis","mean_ar","var_ar","skewness_ar","kurtosis_ar"
"1","AR",0.649454463691056,-6.25659741850271e-20,0.0233192110255344,-3.31573459973015,23.284381412727,-0.000552831751267882,0.000977105778628906,-2.12581634133279,11.9341207767041
"2","AU",0.532537291487355,-2.02608754797738e-19,0.00917449805386985,-4.78086104205095,40.303065496539,0.000186881973767312,0.000111759066023253,-3.46224201792047,24.3943826692623
"3","BR",0.555575703343539,-6.24972958379524e-21,0.0139013711902293,-3.31468334700523,23.685056190321,-0.000634366722714725,0.000282265124567251,-2.39706698920874,14.4353220092355
"4","CA",0.423097161459775,2.99819139618211e-20,0.0127556047359508,-6.32327526898179,57.4175884184744,0.000222969611579251,0.000187746978149845,-5.02487304469038,40.6393239999005
"5","CH",0.455109887619849,3.03678481177435e-19,0.00980981506446226,-3.89296642125054,31.9023704564966,0.000476849948043415,0.000107005568248142,-2.84962748092521,22.3101112527614
"6","CL",0.605098672377145,5.43913431512778e-20,0.0167734900031933,-4.97581342767645,42.3584641801231,0.000485776130148752,0.000385831041002198,-3.13466943312469,21.657091737481
"7","CN",0.491086632454852,1.57990721981559e-19,0.0155683344457116,-3.48638739212867,32.8171759129772,-0.000186946168613649,0.00031880883486273,-2.67495146621329,21.0141687671892
"8","CO",0.483616685269296,2.6515946712786e-19,0.0196499410074184,-6.09251363774391,54.3782061556538,-0.000165977872575127,0.000504908372368034,-4.59359168340751,34.2302353569597
"9","CZ",0.57517170719574,6.99488964955545e-20,0.0112965834010981,-4.50313511709927,37.7139670241514,0.000117506400266935,0.000177033160319274,-3.08480222888409,22.0115350628715
"10","DK",0.483834649131108,5.91091640489352e-20,0.00973161942898359,-2.73339964116047,21.3515351507467,0.000212637200342214,0.000123674783228927,-2.0505141297813,13.9556415365625
"11","GB",0.448411656169464,-5.23115338740332e-19,0.0240185009638596,-7.35362671487113,69.6441860901333,-7.76070785530808e-05,0.000728524708173774,-5.73712458523344,46.3572402550189
"12","HK",0.701189450812564,1.89735380184963e-19,0.0139818696454188,0.13161451828012,7.13581597991792,0.000305759937321095,0.000368038852112396,0.19672115390946,4.65490402021403
"13","HU",0.536604289156167,1.80395124982808e-20,0.0174976953140185,-5.63543995318569,50.2920857852391,0.000453628707698367,0.000381448901463649,-3.98322221396638,29.9269245741882
"14","ID",0.644127854845137,-2.39183790078728e-19,0.0156202019953421,-1.25719281017473,11.9494941384448,0.000520523003158693,0.000406760777005679,-0.7825098723645,7.1982302694723
"15","IL",0.462323579537243,1.47952236917478e-19,0.0128775913778923,-3.6933965203633,31.4400903126223,-8.77122311725217e-05,0.000208263395513169,-2.857485963865,21.070019300552
"16","IN",0.279364613431761,1.12086114796847e-18,0.0302770633370233,-5.43124670247332,44.7641222419953,0.000116990932580011,0.000925469251098573,-4.88178352792409,39.4216356437214
"17","JP",0.466185140372983,1.47639368891915e-19,0.0111584397929241,-3.33317289506234,22.3818769606774,2.94508917660897e-05,0.000150179819192747,-2.51340354916203,15.0294208080523
"18","KR",0.664416083078762,3.60618554097929e-20,0.0111411941332764,-2.20377818954173,13.7375289654935,-0.000131354363340656,0.000207215612850925,-1.27531922049019,7.02915949444799
"19","MX",0.355779226073274,3.02889634052008e-19,0.0197670491147064,-6.54428158518962,57.7901344570484,-9.54052747634537e-06,0.000443271658430359,-5.61382673302039,45.2534092652379
"20","MY",0.463699299326181,6.49330878808675e-19,0.0236797320829984,-3.09767283501417,24.4181130327711,5.9839019465011e-05,0.000694400830583522,-2.32972560384543,16.7626566243718
