"cc","autocorr_coef","mean","stdev","skewness","kurtosis","mean_ar","var_ar","skewness_ar","kurtosis_ar","pop","p1","p2","mu2","mu3","v1","v2","v3","m2","m3","m4","p3"
"DEU",0.5,0,0.14170421571376,0.599190950891831,3.78898213382562,0,0.0200800847510518,0.599190950891831,3.78898213382562,0.298676187871024,0.249013219311565,0.39120057237339,-0.0673507526351775,0.0275632984082965,0.18163497193631,0.0735708841405519,0.135598246160306,0.0200800847510518,0.00170495750191134,0.00152775474205944,0.640213791684955
"cny",0.5,0,0.0938513163666522,-2.28087597801214,19.6836854210577,0,0.00880806958375344,-2.28087597801214,19.6836854210577,0.144296032143757,0.977594980280146,0.0133683741508318,-0.350553795738593,-0.232285831242097,0.0739692953251347,0.295748538323403,0.111531715246158,0.00880806958375344,-0.0018854836754744,0.00152710144977875,0.990963354430978
"z_e",0.5,0,0.148500358445922,0.255356895014212,14.870130490754,0,0.0220523564585674,0.255356895014212,14.870130490754,0.776253623189405,0.822343090527728,0.163298782635761,0.00358666045309919,0.0841675981177872,0.0456651619231919,0.328854463891754,0.423058730702279,0.0220523564585674,0.000836238377529751,0.00723144000382908,0.985641873163489
"_0i",0.5,0,0.138985058345591,0.524005636608946,17.3195379075927,0,0.0193168464433274,0.524005636608946,17.3195379075927,0.0811353020835668,0.933889465273149,0.00384277484675197,-0.23107199107927,0.227593313170331,0.10248214733227,0.737956834078598,0.246917813762361,0.0193168464433274,0.00140682572061178,0.00646262201342335,0.937732240119901
"17h",0.5,0,0.131251673300879,-0.837438344109278,16.4931226015785,0,0.0172270017442807,-0.837438344109278,16.4931226015785,0.489319249754772,0.970514082891721,0.0133894334170378,-0.351012676937448,0.184380353773556,0.104319617950425,0.428124612006142,0.353471106655313,0.0172270017442807,-0.00189350906564095,0.00489465721740431,0.983903516308759
"zgi",0.5,0,0.129776453803607,-1.96920699246818,13.292892313903,0,0.0168419279618398,-1.96920699246818,13.292892313903,0.998042623978108,0.77129382940954,0.0213206313733113,-0.220625194464012,-0.19736904306303,0.0320136330090186,0.428539401851714,0.0392494471771333,0.0168419279618398,-0.00430406753641239,0.00377053604939336,0.792614460782851
"s8n",0.5,0,0.0665700544793156,0.607809926497132,17.8725262041805,0,0.00443157215337904,0.607809926497132,17.8725262041805,0.417825242970139,0.936600773381423,0.0462066930327208,0.217533524643265,-0.201907664356442,0.0294825582870379,0.0690050516710122,0.164243474506372,0.00443157215337904,0.000179310006221092,0.000350995535082171,0.982807466414144
"qlo",0.5,0,0.139344648187743,-1.65864165675527,16.4350203608486,0,0.0194169309785658,-1.65864165675527,16.4350203608486,0.272254444425926,0.986331005761419,0.003054848209421,-0.778845140703711,-0.455318111025751,0.119785813285456,0.51006441759006,0.185028860187268,0.0194169309785658,-0.00448769619554234,0.00619628550016497,0.98938585397084
"4gi",0.5,0,0.135117545166832,-2.40730373267236,17.351615044293,0,0.0182567510119108,-2.40730373267236,17.351615044293,0.348961198003963,0.831854879090069,0.149817615472431,0.108757843964221,-0.686758660140383,0.077001755704587,0.127686349501156,0.156576104115081,0.0182567510119108,-0.00593835461233722,0.00578344872154386,0.9816724945625
"jw_",0.5,0,0.147806061854369,-0.603656032737933,16.3432733692458,0,0.0218466319208975,-0.603656032737933,16.3432733692458,0.353289348073304,0.848726972315546,0.0783507085879859,-0.235201946050897,0.269516578780987,0.0265039013329926,0.314684467277837,0.230027427650234,0.0218466319208975,-0.00194924434340244,0.00780024112990734,0.927077680903532
