"year","cc","dlgdp_pc","disaster","recession","normal","expansion","boom"
1960,"AGO",NA,NA,NA,NA,NA,NA
1961,"AGO",NA,NA,NA,NA,NA,NA
1962,"AGO",NA,NA,NA,NA,NA,NA
1963,"AGO",NA,NA,NA,NA,NA,NA
1964,"AGO",NA,NA,NA,NA,NA,NA
1965,"AGO",NA,NA,NA,NA,NA,NA
1966,"AGO",NA,NA,NA,NA,NA,NA
1967,"AGO",NA,NA,NA,NA,NA,NA
1968,"AGO",NA,NA,NA,NA,NA,NA
1969,"AGO",NA,NA,NA,NA,NA,NA
1970,"AGO",NA,NA,NA,NA,NA,NA
1971,"AGO",0.0336065761279476,NA,NA,0.0336065761279476,NA,NA
1972,"AGO",-0.0313181765526527,NA,NA,-0.0313181765526527,NA,NA
1973,"AGO",0.0396681594098951,NA,NA,0.0396681594098951,NA,NA
1974,"AGO",-0.00931945611953378,NA,NA,-0.00931945611953378,NA,NA
1975,"AGO",-0.0855194489166627,NA,-0.0855194489166627,NA,NA,NA
1976,"AGO",-0.0852746041411194,NA,-0.0852746041411194,NA,NA,NA
1977,"AGO",-0.0260150084645161,NA,NA,-0.0260150084645161,NA,NA
1978,"AGO",-0.0842362439531175,NA,-0.0842362439531175,NA,NA,NA
1979,"AGO",-0.0302787408821522,NA,NA,-0.0302787408821522,NA,NA
1980,"AGO",-0.0107690490808925,NA,NA,-0.0107690490808925,NA,NA
1981,"AGO",-0.0770995374119704,NA,-0.0770995374119704,NA,NA,NA
1982,"AGO",-0.0349051429975595,NA,NA,-0.0349051429975595,NA,NA
1983,"AGO",0.00548370569217793,NA,NA,0.00548370569217793,NA,NA
1984,"AGO",0.0228844826761063,NA,NA,0.0228844826761063,NA,NA
1985,"AGO",-0.00107681218832811,NA,NA,-0.00107681218832811,NA,NA
1986,"AGO",-0.00404107718699154,NA,NA,-0.00404107718699154,NA,NA
1987,"AGO",0.0330525386997054,NA,NA,0.0330525386997054,NA,NA
1988,"AGO",0.0195968839313492,NA,NA,0.0195968839313492,NA,NA
1989,"AGO",-0.0300172578857115,NA,NA,-0.0300172578857115,NA,NA
1990,"AGO",-0.0375191905712382,NA,NA,-0.0375191905712382,NA,NA
1991,"AGO",-0.0231085819529216,NA,NA,-0.0231085819529216,NA,NA
1992,"AGO",-0.0887696642923789,NA,-0.0887696642923789,NA,NA,NA
1993,"AGO",-0.264117785179473,-0.264117785179473,NA,NA,NA,NA
1994,"AGO",-0.0187781108279835,NA,NA,-0.0187781108279835,NA,NA
1995,"AGO",0.113594879695557,NA,NA,NA,0.113594879695557,NA
1996,"AGO",0.0995282040850372,NA,NA,NA,0.0995282040850372,NA
1997,"AGO",0.0387784844266938,NA,NA,0.0387784844266938,NA,NA
1998,"AGO",0.0136473009052716,NA,NA,0.0136473009052716,NA,NA
1999,"AGO",-0.0108528914116059,NA,NA,-0.0108528914116059,NA,NA
2000,"AGO",-0.00267943528130676,NA,NA,-0.00267943528130676,NA,NA
2001,"AGO",-0.00209262410580946,NA,NA,-0.00209262410580946,NA,NA
2002,"AGO",0.107797687416326,NA,NA,NA,0.107797687416326,NA
2003,"AGO",-0.00431851184710585,NA,NA,-0.00431851184710585,NA,NA
2004,"AGO",0.0718725904816802,NA,NA,NA,0.0718725904816802,NA
2005,"AGO",0.110311087233463,NA,NA,NA,0.110311087233463,NA
2006,"AGO",0.0767903474931122,NA,NA,NA,0.0767903474931122,NA
2007,"AGO",0.0988934435676438,NA,NA,NA,0.0988934435676438,NA
2008,"AGO",0.0711524809852913,NA,NA,NA,0.0711524809852913,NA
2009,"AGO",-0.0280878458256925,NA,NA,-0.0280878458256925,NA,NA
2010,"AGO",0.010791525929585,NA,NA,0.010791525929585,NA,NA
2011,"AGO",-0.00220850252071347,NA,NA,-0.00220850252071347,NA,NA
2012,"AGO",0.0470646733082194,NA,NA,0.0470646733082194,NA,NA
2013,"AGO",0.0129208469911892,NA,NA,0.0129208469911892,NA,NA
2014,"AGO",0.0121983216140142,NA,NA,0.0121983216140142,NA,NA
2015,"AGO",-0.0246871087622114,NA,NA,-0.0246871087622114,NA,NA
2016,"AGO",-0.0581597112038519,NA,NA,-0.0581597112038519,NA,NA
2017,"AGO",-0.0341016647259106,NA,NA,-0.0341016647259106,NA,NA
2018,"AGO",-0.0516208606763415,NA,NA,-0.0516208606763415,NA,NA
2019,"AGO",-0.0464554544144249,NA,NA,-0.0464554544144249,NA,NA
1960,"ARG",NA,NA,NA,NA,NA,NA
1961,"ARG",0.0160507160987651,NA,NA,0.0160507160987651,NA,NA
